Gender,Age,Education Level,Sleep Duration (hrs),Stress Level,Academic Performance Change,Parents Marital Relationship,Who finances your schooling?,Parents Total Monthly Income
Male,15,Class 8,8.9,Medium,Same,married_and_staying_together,spouse,ten_thousand_to_fifteen_thousand
Female,25,MSc,5,Medium,Same,not_married_but_living_together,parents,below_five_thousand
Male,20,BTech,5.4,Medium,Same,single_parent,relatives,ten_thousand_to_fifteen_thousand
Male,20,BA,5.6,High,Same,married_but_separated,relatives,ten_thousand_to_fifteen_thousand
Female,17,Class 11,5.4,Medium,Same,married_and_staying_together,parents,below_five_thousand
Male,23,MSc,8.4,Low,Improved,not_married_but_living_together,spouse,below_five_thousand
Male,22,MTech,6.6,Medium,Improved,not_married_but_living_together,spouse,below_five_thousand
Male,25,MTech,4.7,Medium,Same,single_parent,parents,five_thousand_to_ten_thousand
Male,20,BA,5,Medium,Improved,not_married_but_living_together,parents,below_five_thousand
Female,16,Class 9,8.4,Low,Improved,married_but_separated,brother,five_thousand_to_ten_thousand
Female,15,Class 8,7.3,Low,Same,married_but_separated,spouse,ten_thousand_to_fifteen_thousand
Male,23,MSc,8.8,High,Same,married_and_staying_together,brother,below_five_thousand
Female,16,Class 10,4.4,High,Same,married_and_staying_together,spouse,fifteen_thousand_to_twenty_thousand
Female,23,MA,4.3,Low,Improved,married_but_separated,spouse,fifteen_thousand_to_twenty_thousand
Male,22,MSc,7.8,High,Declined,single_parent,spouse,fifteen_thousand_to_twenty_thousand
Male,21,MA,8.5,Medium,Declined,married_but_separated,brother,below_five_thousand
Male,25,MTech,5.6,Medium,Declined,not_married_but_living_together,parents,below_five_thousand
Female,18,Class 11,4.8,Low,Declined,single_parent,relatives,ten_thousand_to_fifteen_thousand
Female,16,Class 9,7.2,High,Same,married_but_separated,parents,fifteen_thousand_to_twenty_thousand
Male,18,Class 11,7.9,High,Same,single_parent,relatives,fifteen_thousand_to_twenty_thousand
Female,20,BTech,5.4,Medium,Declined,married_and_staying_together,brother,ten_thousand_to_fifteen_thousand
Male,20,BA,7.3,Low,Same,married_but_separated,spouse,fifteen_thousand_to_twenty_thousand
Male,19,BSc,7.7,Low,Same,single_parent,brother,fifteen_thousand_to_twenty_thousand
Female,15,Class 8,8.5,Medium,Improved,married_but_separated,spouse,ten_thousand_to_fifteen_thousand
Male,17,Class 11,4.3,High,Improved,single_parent,spouse,five_thousand_to_ten_thousand
Female,26,MTech,6.8,Medium,Declined,not_married_but_living_together,spouse,fifteen_thousand_to_twenty_thousand
Female,24,MTech,7.9,Medium,Declined,not_married_but_living_together,spouse,fifteen_thousand_to_twenty_thousand
Male,24,MTech,8.2,Low,Improved,married_but_separated,relatives,five_thousand_to_ten_thousand
Male,18,Class 11,4.7,Low,Declined,single_parent,spouse,ten_thousand_to_fifteen_thousand
Female,17,Class 11,4.9,Medium,Same,single_parent,brother,below_five_thousand
Male,18,Class 11,4.6,Medium,Declined,married_and_staying_together,spouse,fifteen_thousand_to_twenty_thousand
Male,16,Class 9,8.5,Low,Same,single_parent,relatives,five_thousand_to_ten_thousand
Female,19,BA,4.5,High,Same,married_and_staying_together,parents,ten_thousand_to_fifteen_thousand
Female,20,BSc,8.8,Medium,Declined,not_married_but_living_together,brother,below_five_thousand
Female,18,Class 12,8.6,Medium,Declined,single_parent,relatives,five_thousand_to_ten_thousand
Female,20,BSc,6.4,High,Same,single_parent,parents,ten_thousand_to_fifteen_thousand
Male,18,Class 12,8.6,Medium,Same,married_but_separated,parents,below_five_thousand
Male,22,BSc,6.5,Low,Same,single_parent,spouse,below_five_thousand
Male,25,MSc,7.6,Low,Same,married_but_separated,spouse,fifteen_thousand_to_twenty_thousand
Male,21,MTech,8.3,Medium,Improved,married_but_separated,relatives,ten_thousand_to_fifteen_thousand
Female,23,MA,8.1,Medium,Same,married_and_staying_together,relatives,fifteen_thousand_to_twenty_thousand
Female,20,BTech,4.7,Low,Improved,not_married_but_living_together,relatives,five_thousand_to_ten_thousand
Female,16,Class 9,6.9,Low,Same,married_and_staying_together,relatives,five_thousand_to_ten_thousand
Female,23,MSc,5.1,High,Improved,not_married_but_living_together,relatives,ten_thousand_to_fifteen_thousand
Female,15,Class 9,6.6,Medium,Same,single_parent,parents,fifteen_thousand_to_twenty_thousand
Other,16,Class 10,6.2,Medium,Declined,married_and_staying_together,relatives,below_five_thousand
Female,21,BSc,6.8,Medium,Same,married_but_separated,relatives,below_five_thousand
Male,21,BA,7.3,Medium,Same,single_parent,parents,below_five_thousand
Male,21,BTech,8.5,High,Declined,married_and_staying_together,parents,five_thousand_to_ten_thousand
Male,24,MA,5.4,Low,Same,married_but_separated,brother,five_thousand_to_ten_thousand
Male,20,BSc,7.8,Low,Declined,not_married_but_living_together,spouse,five_thousand_to_ten_thousand
Female,19,Class 12,7.2,Medium,Same,not_married_but_living_together,relatives,fifteen_thousand_to_twenty_thousand
Female,20,BTech,5.1,Low,Same,single_parent,spouse,five_thousand_to_ten_thousand
Female,23,MTech,6.4,Medium,Same,married_and_staying_together,brother,below_five_thousand
Male,19,BTech,8.5,Medium,Same,single_parent,parents,five_thousand_to_ten_thousand
Male,19,BA,9,Medium,Improved,married_and_staying_together,parents,five_thousand_to_ten_thousand
Female,16,Class 9,7,Low,Declined,single_parent,parents,below_five_thousand
Female,16,Class 9,5.6,Low,Improved,married_and_staying_together,relatives,five_thousand_to_ten_thousand
Male,22,BSc,5,Low,Same,single_parent,parents,ten_thousand_to_fifteen_thousand
Male,16,Class 10,4.5,High,Same,married_and_staying_together,brother,five_thousand_to_ten_thousand
Female,15,Class 9,6.1,Medium,Same,married_but_separated,spouse,five_thousand_to_ten_thousand
Male,25,MTech,5.6,Medium,Improved,married_and_staying_together,parents,ten_thousand_to_fifteen_thousand
Female,15,Class 9,8.5,High,Same,single_parent,relatives,fifteen_thousand_to_twenty_thousand
Other,18,Class 11,8,High,Improved,married_but_separated,spouse,below_five_thousand
Male,22,MA,8.8,Medium,Same,married_but_separated,spouse,fifteen_thousand_to_twenty_thousand
Female,20,BTech,8.1,Medium,Same,married_and_staying_together,parents,five_thousand_to_ten_thousand
Male,20,BTech,6,High,Declined,married_but_separated,brother,ten_thousand_to_fifteen_thousand
Female,15,Class 8,5.6,Low,Same,single_parent,spouse,fifteen_thousand_to_twenty_thousand
Female,21,BSc,7.3,Medium,Declined,single_parent,relatives,ten_thousand_to_fifteen_thousand
Female,18,Class 12,7.2,High,Improved,single_parent,brother,fifteen_thousand_to_twenty_thousand
Female,23,MSc,6.7,High,Improved,married_but_separated,spouse,fifteen_thousand_to_twenty_thousand
Male,17,Class 10,4.1,Medium,Improved,married_and_staying_together,brother,fifteen_thousand_to_twenty_thousand
Female,25,MSc,7.8,High,Declined,married_and_staying_together,relatives,below_five_thousand
Male,26,MSc,5.2,Medium,Same,married_but_separated,brother,ten_thousand_to_fifteen_thousand
Female,15,Class 9,5.5,Medium,Declined,single_parent,parents,five_thousand_to_ten_thousand
Male,25,MSc,8.7,Medium,Declined,single_parent,parents,five_thousand_to_ten_thousand
Female,18,Class 12,4.7,Medium,Same,married_but_separated,relatives,five_thousand_to_ten_thousand
Female,22,MTech,6.6,High,Same,married_but_separated,relatives,below_five_thousand
Male,21,MSc,4.9,Medium,Declined,single_parent,spouse,below_five_thousand
Male,15,Class 9,8.3,High,Same,married_but_separated,parents,ten_thousand_to_fifteen_thousand
Male,15,Class 8,6.4,High,Improved,single_parent,relatives,ten_thousand_to_fifteen_thousand
Male,24,MSc,5,Medium,Declined,single_parent,relatives,below_five_thousand
Female,17,Class 10,4.6,High,Same,married_but_separated,relatives,fifteen_thousand_to_twenty_thousand
